タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
抱かれたい道場,https://cf.image-cdn.k-manga.jp/cover_200/11/113272/b113272_1_200.jpg,青年漫画,ギャグ・コメディ,中川ホメオパシー,巻524pt,学校では教えてくれない、悪友から教わるものでもない、抱かれたい男になるための聖典!　昭和テイストあふれるヘンタイギャグ満載!!
十五童貞漂流記,https://cf.image-cdn.k-manga.jp/cover_200/11/113277/b113277_1_200.jpg,青年漫画,ギャグ・コメディ,ホリユウスケ,"巻500pt
              
              お気に入り：1人",修学旅行中の中学生１５人がフェリーから落ちて無人島に流れ着いた。待つのは過酷なサバイバル！のはずが全員童貞だったから!?
はじぷる！,https://cf.image-cdn.k-manga.jp/cover_200/11/113296/b113296_1_200.jpg,青年漫画,ギャグ・コメディ,たくじ,"巻524pt
              
              お気に入り：8人",超～恥ずかしがり屋のサツキ。妖精マルピーに地球を守る“勇者”に選ばれてしまった。しかし勇者の剣を使うには、恥ずかしい思いをせねばならず…。 マルピーは言う。「おっぱいをさらせ」と！
ゆりめくる日々,https://cf.image-cdn.k-manga.jp/cover_200/11/113309/b113309_1_200.jpg,青年漫画,ギャグ・コメディ,海月れおな,"巻524pt
              
                  
                
                5.0（1件）
              
              お気に入り：17人",おしとやかな、より子先輩と彼女に憧れる後輩・沙柚理…。2人の日常は目くるめく秘密の花園。甘く切ない香りに微笑があふれる……。
あやしい取材に逝ってきました。,https://cf.image-cdn.k-manga.jp/cover_200/11/113345/b113345_1_200.jpg,青年漫画,ギャグ・コメディ,小沢カオル,"巻720pt
              
              お気に入り：12人",断食修行をしたら瀕死体験、ゲテモノ料理の度が過ぎて臨死体験、前世療法で驚異のご対面、ラブドール108体ともご対面、さらには富士の樹海キャンプで○○○○を発見して大変なことに…!? 同様の仕事をこなす作家からもそのハ…
この○○がエロい!!,https://cf.image-cdn.k-manga.jp/cover_200/11/113346/b113346_1_200.jpg,青年漫画,ギャグ・コメディ,金平守人,"巻500pt
              
              お気に入り：1人",ちんすこうやマンゴスチン、「生でお願いします」と注文する女のコ、形がナニかに見えちゃうあれこれ…。本当はエロくないのにエロく感じちゃう言葉やモノ・シチュエーションをいっぱい集めて大研究する、妄想系下ネタレポートギャ…
SWEET SISTER,https://cf.image-cdn.k-manga.jp/cover_200/11/113356/b113356_1_200.jpg,青年漫画,ギャグ・コメディ,しぐにゃん,"巻524pt
              
              お気に入り：1人",天然ロリ美少女の妹・リサに、怪しい通販マニアの兄が仕掛けるエッチな罠の数々…!!　カゲキな美少女販売員も加わり、リサの貞操は毎回タイヘンなことに!! ちょっぴりえっちなロリ萌えコメディ!!
板谷さんと牛山さん,https://cf.image-cdn.k-manga.jp/cover_200/11/113403/b113403_1_200.jpg,青年漫画,ギャグ・コメディ,折笠りょこ,"巻524pt
              
              お気に入り：13人",性格も体型も正反対の二人…。でも、悩みの種は同じカラダの“ある部分”のコト。 人には言えないおんなの子のカラダの悩みを解消する超健康系メディカルコメディー♪
ゆけっ!!　悪の組織ダークドリーム!!,https://cf.image-cdn.k-manga.jp/cover_200/11/113423/b113423_1_200.jpg,青年漫画,ギャグ・コメディ,KAKERU,"巻524pt
              
              お気に入り：12人",悪の組織ダークドリームに入社した女子高生型怪人・ココセ。先輩怪人達に厳しくも温かい指導を受けながら、正義の変身ヒロイン・パリキュアを倒すべく奮戦する!! 大人気ビルドゥングス・ロマン、開幕!!
満腹！この○○がエロい!!,https://cf.image-cdn.k-manga.jp/cover_200/11/113431/b113431_1_200.jpg,青年漫画,ギャグ・コメディ,金平守人,"巻完500pt
              
              お気に入り：3人",シリカゲル、ビラ配り、マントル、ハメ殺し……。エロくないのにエロく感じる、言葉・モノ・シチュエーションをエロエロ集めて大研究!! 物議を醸した前作をさらに濃密にバカバカしくパワーアップ!!
画太郎先生だぁ～い好き,https://cf.image-cdn.k-manga.jp/cover_200/11/113458/b113458_1_200.jpg,青年漫画,ギャグ・コメディ,漫☆画太郎,"巻500pt
              
              お気に入り：3人",ファンはもちろん、画太郎初心者にもオススメな奇天烈爆笑短編集!!　浜岡賢次との幻の合作も出土したので収録!!　●収録作品● ・釣り ・ビデオレター ・平成うらしま太郎 ・漫才グランプリ ・ランドセル ・分別ババア …
天使じゃないッ!,https://cf.image-cdn.k-manga.jp/cover_200/11/113459/b113459_1_200.jpg,青年漫画,ギャグ・コメディ,岡田和人,"巻500pt
              
              お気に入り：19人",いじめられっ子の童貞中学生とパンチラ悪魔の凸凹コンビ!　「教科書にないッ!」の作者が贈る大人気コメディー大作!!
眠れる教室の喪女,https://cf.image-cdn.k-manga.jp/cover_200/11/113505/b113505_1_200.jpg,青年漫画,ギャグ・コメディ,風上旬,"巻500pt
              
              お気に入り：4人",田の中じゅえるは、スクールカースト最下層のJK喪女。休み時間の妄想と明晰夢が、至福のひと時であるが…、ごく当たり前に「学校行事」というヤツに付き合わざるを得ず…!?
ゆりめくるお仕事,https://cf.image-cdn.k-manga.jp/cover_200/11/113507/b113507_1_200.jpg,青年漫画,ギャグ・コメディ,海月れおな,"巻524pt
              
              お気に入り：9人",「ゆりめくるシリーズ」2冊目登場! ゆる美人なお嬢様の先輩と、そんな先輩が大好きな後輩。二人の愛は学校を飛び出し、様々なステージへ広がる……。
ヨーチA,https://cf.image-cdn.k-manga.jp/cover_200/11/113512/b113512_1_200.jpg,青年漫画,ギャグ・コメディ,Q.B.B（作・久住昌之　絵・久住卓也）,"巻1200pt
              
              お気に入り：1人",アラフォー下り坂漫画家・クソミのもとにある日突然、謎の生命体“ヨーチA”がやってきた!　かわいくて、生意気で、メチャクチャなその生命体はいったい……!? 12年前に発売された伝説のコミックスに、未収録分88ページを…
妻がナニやら,https://cf.image-cdn.k-manga.jp/cover_200/11/113561/b113561_1_200.jpg,青年漫画,ギャグ・コメディ,林崎文博,"巻完524pt
              
              お気に入り：241人",中学時代の恩師に恋をした歩夢。清らかすぎる交際を経て、ついに結婚!　身体は純潔のままで…!! でも、実は歩夢の頭の中はエッチなことでいっぱい!!　日常のいかなるものからも、わらしべ的にエッチな妄想ばかりしてしまい……
にんこい～隠恋慕秘帖～,https://cf.image-cdn.k-manga.jp/cover_200/11/113582/b113582_1_200.jpg,青年漫画,ギャグ・コメディ,炎堂たつや,"巻完524pt
              
              お気に入り：11人",新たな出会いを求めて新学期を迎えた高校生の御門修二。だが、そんな彼の前に現れたのは、美少女忍者の雛守牡丹。修二の持つ忍の長の証“宵闇”を狙って現れた牡丹だが、ひょんなことから同居して、逆に修二の命を守ることに……!…
ちっくたっく,https://cf.image-cdn.k-manga.jp/cover_200/11/113622/b113622_1_200.jpg,青年漫画,ギャグ・コメディ,玉置勉強,"巻500pt
              
              お気に入り：3人",ゆるっと・女子高生×スケボー・コミック!! 自由な校風ゆえに個性的な生徒たちが集まる私立満天学園を舞台に、これまたそれぞれ異彩を放つ個性派女子高生のむにょと志織にシェリー、さらに志織の妹で新入生の佳織も加わった女の…
もずく、ウォーキング！,https://cf.image-cdn.k-manga.jp/cover_200/11/113830/b113830_1_200.jpg,青年漫画,ギャグ・コメディ,施川ユウキ,"巻500pt
              
              お気に入り：1人",「考える犬」もずくとサチの成長日記。人生すら語る「考える犬」もずくと、飼い主の不思議系小学生サチが織り成すはーとふるコメディ！
耳袋さんの知恵袋,https://cf.image-cdn.k-manga.jp/cover_200/11/113932/b113932_1_200.jpg,青年漫画,ギャグ・コメディ,めぷちん☆,"巻524pt
              
              お気に入り：12人",Iカップのメガネ美少女・耳袋さん。真面目な文学少女…と思われている彼女だけれど、Hなことへの好奇心がぱんぱんで…!? 巨乳メガネっ娘と一緒に学ぶ快楽追究ラブコメディー!
鴻池剛の崖っぷちルームシェア　犬と無職とバンドマン,https://cf.image-cdn.k-manga.jp/cover_200/11/113973/b113973_1_200.jpg,青年漫画,ギャグ・コメディ,鴻池剛,"巻856pt
              
              お気に入り：7人",仕事を無くし、人生の新たな一歩を踏み出すため、吉祥寺の叔母の家に居候することになった剛。新居は犬2匹との相部屋で…!?
ゾンビの星,https://cf.image-cdn.k-manga.jp/cover_200/11/114077/b114077_1_200.jpg,青年漫画,ギャグ・コメディ,浜岡賢次,"巻500pt
              
              お気に入り：2人","20XX年突然、死体が動き始め次々と人間を襲った。2年後には全ての人が消え地球はゾンビの星となった。だが一人、ひきこもり故に生き延びた人間が……!? 『浦安鉄筋家族』シリーズの浜岡賢次が描くゾンビギャグ!!
   …"
